First Name,Last Name,Concentrations,Area 1,Area 2,Area 3,Area 4,Unnamed: 7,Unnamed: 8,Areas,FacultyName
Fred,Schneider,"PL, Systems",Security,systems,PL,,,,,Fred Schneider
Ziv,Goldfeld,Theory,Theory,,,,,,,Ziv Goldfeld
Bart ,Selman,AI,AI,,,,,,,Bart  Selman
Phoebe,Sengers,AI,AI,HCI,,,,,,Phoebe Sengers
Vitaly,Shmatikov,Systems,Systems,Security,AI,,,,,Vitaly Shmatikov
David,Shmoys,"Scientific Computing, Theory",Comp bio,Theory,,,,,,David Shmoys
Alexandra,Silva,"PL, Theory",PL,Theory,,,,,,Alexandra Silva
Rachee,Singh,Systems,Security,Systems,,,,,,Rachee Singh
Noah,Snavely,"AI, Scientific Computing",Graphics,Scientific Computing,Vision,HCI,,,,Noah Snavely
Karthik,Sridharan,"AI, Theory",ML,Theory,,,,,,Karthik Sridharan
Noah,Stephens-Davidowitz,Theory,Theory,Security,Crypto,,,,,Noah Stephens-Davidowitz
Ed,Suh,Systems,Systems,Security,Arch,,,,,Ed Suh
Jennifer,Sun,AI,HCI,ML,Vision,,,,,Jennifer Sun
Wen ,Sun,AI,ML,Theory,Robotics,,,,,Wen  Sun
Kevin,Tang,"Systems, Theory",Systems,Theory,,,,,,Kevin Tang
Eva,Tardos,Theory,Theory,,,,,,,Eva Tardos
Angelique,Taylor,AI,Robotics,,,,,,,Angelique Taylor
Alex,Townsend,Scientific Computing, Scientific Computing,,,,,,,Alex Townsend
Immanuel,Trummer,Systems,Databases,,,,,,,Immanuel Trummer
Robbert,Van Renesse,Systems,Systems,,,,,,,Robbert Van Renesse
Marten,van Schijndel,AI,AI,NLP,ML,,,,,Marten van Schijndel
Aditya,Vashistha,AI,HCI,,,,,,,Aditya Vashistha
Aaron,Wagner,Theory,Theory,Security,,,,,,Aaron Wagner
Fei,Wang,AI,ML,,,,,,,Fei Wang
Hakim,Weatherspoon,Systems,Systems,,,,,,,Hakim Weatherspoon
Kilian,Weinberger,AI,ML,,,,,,,Kilian Weinberger
Stephen,Wicker,"AI, Theory",AI,Theory,,,,,,Stephen Wicker
Mark ,Wilde,Theory,Theory,,,,,,,Mark  Wilde
David,Williamson,Theory,Theory,,,,,,,David Williamson
Qian,Yang,"AI, Scientific Computing",AI,Scientific Computing,,,,,,Qian Yang
Fengqi,You,Theory,Theory,,,,,,,Fengqi You
Christine Lee,Yu,Theory,Theory,,,,,,,Christine Lee Yu
Haiyuan,Yu,Scientific Computing,Comp bio,,,,,,,Haiyuan Yu
Ramin,Zabih,"AI, Theory",vision,Theory,,,,,,Ramin Zabih
Cheng,Zhang,Systems,HCI,Systems,,,,,,Cheng Zhang
Zhiru,Zhang,Systems,Systems,,,,,,,Zhiru Zhang
